기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20231,1150053500,등촌3동,CS300011,일반의류,725813197 ,3422 ,616451199 ,109361998 ,174275011 ,117796609 ,130261343 ,31335224 ,162783012 ,48145329 ,61216669 ,0 ,0 ,87475837 ,417323353 ,180223011 ,40790996 ,73460862 ,620217025 ,0 ,0 ,27719623 ,50886768 ,446837013 ,168234483 ,2910 ,512 ,626 ,438 ,890 ,336 ,620 ,281 ,231 ,0 ,0 ,777 ,1583 ,960 ,102 ,376 ,2927 ,0 ,0 ,132 ,204 ,1960 ,1007 
20231,1150053500,등촌3동,CS300016,안경,141501505 ,2675 ,105309721 ,36191784 ,19718052 ,24678118 ,17948352 ,20588286 ,22376913 ,21359038 ,14832746 ,0 ,3654797 ,30124215 ,47583007 ,56471091 ,3668395 ,48995173 ,91661329 ,942731 ,34053989 ,36098399 ,19603108 ,27084633 ,22873643 ,1997 ,678 ,431 ,371 ,402 ,347 ,446 ,421 ,257 ,0 ,89 ,591 ,791 ,1087 ,117 ,630 ,2029 ,70 ,932 ,881 ,266 ,342 ,169 
20231,1150053500,등촌3동,CS300017,시계및귀금속,121371427 ,423 ,115199913 ,6171514 ,59634289 ,2529171 ,5498197 ,30087824 ,17450432 ,6171514 ,0 ,0 ,0 ,76162715 ,41642496 ,3566216 ,0 ,118038311 ,2487240 ,0 ,76246 ,13542573 ,846239 ,88837448 ,17223044 ,389 ,34 ,51 ,134 ,34 ,68 ,102 ,34 ,0 ,0 ,0 ,118 ,119 ,186 ,0 ,302 ,105 ,0 ,19 ,106 ,122 ,105 ,55 
20231,1150053500,등촌3동,CS300018,의약품,6204910749 ,271451 ,5636505032 ,568405717 ,1207374422 ,888206061 ,1194767081 ,971886021 ,1374271447 ,442764656 ,125641061 ,5385954 ,1145941207 ,2194930854 ,1793372009 ,973143691 ,92137034 ,3387667057 ,2815015160 ,8020068 ,219631302 ,797434739 ,2426014667 ,1109206571 ,1642374869 ,225291 ,46160 ,48897 ,42053 ,40182 ,46381 ,47778 ,33999 ,12161 ,531 ,48351 ,71753 ,78241 ,64121 ,8454 ,127573 ,143820 ,1408 ,21560 ,50808 ,55066 ,57518 ,85034 
20231,1150053500,등촌3동,CS300019,의료기기,6769226465 ,5812 ,6667265122 ,101961343 ,300140399 ,1773484841 ,3024555002 ,71202399 ,1497882481 ,67760190 ,34201153 ,0 ,39631620 ,2673353771 ,3368097883 ,688143191 ,0 ,5937769199 ,831457266 ,0 ,4600155 ,19200647 ,3266860381 ,2269842727 ,1208722555 ,4281 ,1531 ,227 ,1427 ,1027 ,400 ,1200 ,931 ,600 ,0 ,227 ,2279 ,2706 ,600 ,0 ,4159 ,1653 ,0 ,200 ,600 ,1227 ,2252 ,1533 
20231,1150053500,등촌3동,CS300020,서적,1918951338 ,113601 ,1225076136 ,693875202 ,218706401 ,286394981 ,238403233 ,236394629 ,245176892 ,385043993 ,308831209 ,0 ,40413553 ,422504317 ,678637944 ,740353716 ,37041808 ,805070050 ,1084345626 ,44357253 ,235065393 ,401055005 ,759013960 ,316813751 ,133110315 ,70574 ,43027 ,12885 ,14679 ,15058 ,13844 ,14108 ,23298 ,19729 ,0 ,1988 ,27243 ,39943 ,42377 ,2050 ,44406 ,68841 ,3147 ,15186 ,25342 ,44141 ,17127 ,8302 
20231,1150053500,등촌3동,CS300021,문구,4410386533 ,111127 ,4356774425 ,53612108 ,896362087 ,808570817 ,699341321 ,952568038 ,999932162 ,53612108 ,0 ,0 ,847643899 ,1591264289 ,1641401463 ,330076882 ,0 ,640854470 ,279292705 ,10947481 ,56996407 ,122681968 ,374377577 ,128139894 ,227003847 ,107256 ,3871 ,21836 ,18137 ,20061 ,24693 ,22529 ,3871 ,0 ,0 ,16645 ,37191 ,43189 ,14102 ,0 ,36917 ,31943 ,5077 ,10699 ,12021 ,16076 ,11166 ,13818 
20231,1150053500,등촌3동,CS300022,화장품,4855300526 ,173996 ,3511467890 ,1343832636 ,670877851 ,729411256 ,603691058 ,591783417 ,915704308 ,683909827 ,659922809 ,13010440 ,99894027 ,1015556466 ,1312405992 ,1781396848 ,633036753 ,1186686706 ,3668613820 ,42395274 ,1287142168 ,1605646543 ,636844089 ,720324612 ,562947840 ,121331 ,52665 ,24045 ,22915 ,23821 ,23236 ,27314 ,26195 ,26470 ,140 ,4165 ,33441 ,42077 ,75729 ,18444 ,42439 ,131557 ,2287 ,53678 ,66112 ,23630 ,17684 ,10605 
20231,1150053500,등촌3동,CS300024,운동/경기용품,5789539455 ,1667 ,5789539455 ,0 ,1113779690 ,188409667 ,2339558599 ,986230790 ,1161560709 ,0 ,0 ,0 ,42005569 ,3287435969 ,2460097917 ,0 ,0 ,5644962267 ,144577188 ,0 ,0 ,2750488095 ,1260183788 ,1612965253 ,165902319 ,1667 ,0 ,341 ,232 ,438 ,218 ,438 ,0 ,0 ,0 ,243 ,657 ,767 ,0 ,0 ,1435 ,232 ,0 ,0 ,438 ,330 ,667 ,232 
20231,1150053500,등촌3동,CS300028,화초,220734477 ,4066 ,201141106 ,19593371 ,39553584 ,30697994 ,30284842 ,61224547 ,39380139 ,17707878 ,1885493 ,115612 ,43804417 ,69056748 ,68633970 ,39112169 ,11561 ,41253613 ,50931005 ,2492515 ,4468587 ,9708818 ,29587684 ,33021334 ,12905678 ,3465 ,601 ,617 ,521 ,577 ,984 ,766 ,521 ,80 ,6 ,717 ,971 ,1205 ,1161 ,6 ,1286 ,1852 ,101 ,168 ,376 ,1061 ,974 ,457 
