기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20231,1111051500,청운효자동,CS300028,화초,18,18,11,2,6,1,0
20231,1111051500,청운효자동,CS300029,애완동물,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS300031,가구,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS300032,가전제품,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS300033,철물점,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS300035,인테리어,7,7,0,0,14,1,0
20231,1111051500,청운효자동,CS300036,조명용품,5,5,0,0,0,0,0
20231,1111051500,청운효자동,CS300038,자동차부품,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS300039,모터사이클및부품,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS300040,재생용품 판매점,2,2,0,0,0,0,0
20231,1111051500,청운효자동,CS300041,예술품,21,21,0,0,0,0,0
20231,1111051500,청운효자동,CS300043,전자상거래업,61,61,0,0,5,3,0
20231,1111053000,사직동,CS100001,한식음식점,371,398,3,10,4,16,27
20231,1111053000,사직동,CS100002,중식음식점,30,31,0,0,3,1,1
20231,1111053000,사직동,CS100003,일식음식점,51,57,2,1,5,3,6
20231,1111053000,사직동,CS100004,양식음식점,83,87,3,3,2,2,4
20231,1111053000,사직동,CS100005,제과점,28,32,0,0,0,0,4
20231,1111053000,사직동,CS100006,패스트푸드점,24,32,3,1,0,0,8
20231,1111053000,사직동,CS100007,치킨전문점,5,10,20,2,20,2,5
20231,1111053000,사직동,CS100008,분식전문점,101,108,6,6,4,4,7
20231,1111053000,사직동,CS100009,호프-간이주점,47,54,0,0,2,1,7
20231,1111053000,사직동,CS100010,커피-음료,138,186,3,6,3,6,48
20231,1111053000,사직동,CS200001,일반교습학원,26,26,0,0,4,1,0
20231,1111053000,사직동,CS200002,외국어학원,10,10,0,0,0,0,0
20231,1111053000,사직동,CS200003,예술학원,10,11,0,0,0,0,1
