기준_년분기_코드,행정동_코드,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
20232,1130555500,송천동,HL,상권축소,109,50,106,52
20231,1130555500,송천동,HL,상권축소,107,50,104,52
20233,1130557500,삼각산동,LL,다이나믹,93,48,107,52
20232,1130557500,삼각산동,LL,다이나믹,90,48,106,52
20231,1130557500,삼각산동,LL,다이나믹,89,47,104,52
20233,1130559500,번1동,LL,다이나믹,101,46,107,52
20232,1130559500,번1동,LL,다이나믹,100,46,106,52
20231,1130559500,번1동,LL,다이나믹,99,46,104,52
20233,1130560300,번2동,LL,다이나믹,104,51,107,52
20232,1130560300,번2동,LL,다이나믹,103,51,106,52
20231,1130560300,번2동,LL,다이나믹,100,51,104,52
20233,1130560800,번3동,HL,상권축소,108,47,107,52
20232,1130560800,번3동,LL,다이나믹,105,47,106,52
20231,1130560800,번3동,LL,다이나믹,104,47,104,52
20233,1121584000,자양3동,LL,다이나믹,99,52,107,52
20232,1121584000,자양3동,LL,다이나믹,97,52,106,52
20231,1121584000,자양3동,LH,상권확장,95,52,104,52
20233,1121584700,자양4동,LL,다이나믹,104,50,107,52
20232,1121584700,자양4동,LL,다이나믹,103,50,106,52
20231,1121584700,자양4동,LL,다이나믹,104,50,104,52
20233,1121585000,구의1동,HL,상권축소,109,50,107,52
20232,1121585000,구의1동,HL,상권축소,107,50,106,52
20231,1121585000,구의1동,HL,상권축소,106,50,104,52
20233,1121586000,구의2동,LH,상권확장,95,55,107,52
20232,1121586000,구의2동,LH,상권확장,94,55,106,52
20231,1121586000,구의2동,LH,상권확장,92,55,104,52
20233,1121587000,구의3동,HH,정체,124,57,107,52
20232,1121587000,구의3동,HH,정체,122,57,106,52
20231,1121587000,구의3동,HH,정체,119,57,104,52
20233,1123053600,용신동,HH,정체,116,53,107,52
20232,1123053600,용신동,HH,정체,115,53,106,52
20231,1123053600,용신동,HH,정체,112,52,104,52
20233,1123054500,제기동,HH,정체,128,62,107,52
20232,1123054500,제기동,HH,정체,127,62,106,52
20231,1123054500,제기동,HH,정체,126,61,104,52
20233,1123056000,전농1동,HH,정체,119,53,107,52
20232,1123056000,전농1동,HH,정체,107,52,106,52
20231,1123056000,전농1동,HH,정체,105,52,104,52
20233,1123057000,전농2동,HH,정체,111,52,107,52
20232,1123057000,전농2동,HL,상권축소,110,51,106,52
20231,1123057000,전농2동,HH,정체,107,52,104,52
20233,1123060000,답십리1동,LH,상권확장,101,52,107,52
20232,1123060000,답십리1동,LH,상권확장,99,52,106,52
20231,1123060000,답십리1동,LH,상권확장,97,52,104,52
20233,1123061000,답십리2동,HH,정체,133,57,107,52
20232,1123061000,답십리2동,HH,정체,130,57,106,52
20231,1123061000,답십리2동,HH,정체,128,57,104,52
20233,1123065000,장안1동,HL,상권축소,111,50,107,52
20232,1123065000,장안1동,HL,상권축소,109,50,106,52
20231,1123065000,장안1동,HL,상권축소,108,49,104,52
20233,1123066000,장안2동,LL,다이나믹,107,49,107,52
20232,1123066000,장안2동,LL,다이나믹,105,48,106,52
20231,1123066000,장안2동,LL,다이나믹,104,48,104,52
20233,1123070500,청량리동,HH,정체,151,57,107,52
20232,1123070500,청량리동,HH,정체,163,57,106,52
20231,1123070500,청량리동,HH,정체,161,57,104,52
20233,1130561500,수유1동,HL,상권축소,113,50,107,52
20232,1130561500,수유1동,HL,상권축소,110,50,106,52
20231,1130561500,수유1동,HL,상권축소,108,50,104,52
20233,1130562500,수유2동,LL,다이나믹,96,51,107,52
20232,1130562500,수유2동,LL,다이나믹,94,51,106,52
20231,1130562500,수유2동,LL,다이나믹,94,51,104,52
20233,1130563500,수유3동,LL,다이나믹,102,47,107,52
20232,1130563500,수유3동,LL,다이나믹,101,47,106,52
20231,1130563500,수유3동,LL,다이나믹,99,46,104,52
20233,1130564500,우이동,LL,다이나믹,102,52,107,52
20232,1130564500,우이동,LH,상권확장,100,52,106,52
